Iteration	Posterior	Likelihood	Prior	m	obs[1]	obs[2]	obs[3]	obs[4]	obs[5]	obs[6]	obs[7]	obs[8]	obs[9]	obs[10]	sd
16200	-27.8993	-23.9873	-3.91202	5.082113	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.29815
16300	-27.7533	-23.8413	-3.91202	5.115062	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.397377
16400	-29.2088	-25.2968	-3.91202	4.846573	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	1.977034
16500	-29.627	-25.715	-3.91202	5.264198	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	1.725324
16600	-30.6315	-26.7194	-3.91202	5.341493	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	1.587297
16700	-29.2248	-25.3128	-3.91202	5.634816	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	1.708819
16800	-28.5697	-24.6577	-3.91202	5.940542	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	1.80858
16900	-28.3964	-24.4844	-3.91202	5.97387	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	1.847036
17000	-27.6056	-23.6936	-3.91202	5.847808	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.093039
17100	-28.4046	-24.4926	-3.91202	5.441242	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	1.898995
17200	-27.3717	-23.4597	-3.91202	5.876373	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.248743
17300	-27.5222	-23.6102	-3.91202	6.05871	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.16379
17400	-27.8819	-23.9699	-3.91202	6.245289	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.047784
17500	-27.4225	-23.5105	-3.91202	6.107224	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.257455
17600	-27.8818	-23.9698	-3.91202	6.391524	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.113487
17700	-27.3763	-23.4642	-3.91202	6.159552	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.345084
17800	-27.5728	-23.6608	-3.91202	6.477099	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.453635
17900	-27.2878	-23.3757	-3.91202	5.999232	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.39644
18000	-27.2951	-23.3831	-3.91202	5.9275	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.3517
18100	-27.3554	-23.4433	-3.91202	5.51238	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.46093
18200	-27.272	-23.3599	-3.91202	5.815874	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.398182
18300	-27.8031	-23.8911	-3.91202	6.278194	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.093914
18400	-27.494	-23.582	-3.91202	6.033926	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.175784
18500	-27.4448	-23.5328	-3.91202	5.923846	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.191017
18600	-28.2888	-24.3768	-3.91202	5.946084	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	1.869915
18700	-27.3862	-23.4742	-3.91202	6.096817	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.290375
18800	-27.284	-23.372	-3.91202	6.02594	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.431176
